participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
34,3,9,pre,retrieval,NA,NA,NA,congruent,image410,image43,FALSE,3690.100000023842
34,3,9,pre,retrieval,NA,NA,NA,congruent,image94,image94,TRUE,2311.100000023842
34,3,9,pre,retrieval,NA,NA,NA,incongruent,image82,image82,TRUE,1555.3999999761581
34,3,10,pre,memory,image353,image428,right,incongruent,NA,left,TRUE,1523.8999999761581
34,3,10,pre,memory,image156,image416,left,congruent,NA,left,TRUE,1630.8999999761581
34,3,10,pre,memory,image112,image358,left,congruent,NA,NULL,FALSE,NA
34,3,10,pre,retrieval,NA,NA,NA,congruent,image156,image156,TRUE,5249
34,3,10,pre,retrieval,NA,NA,NA,incongruent,image428,image428,TRUE,2731.7999999523163
34,3,10,pre,retrieval,NA,NA,NA,congruent,image112,image112,TRUE,2280.2999999523163
34,3,11,pre,memory,image71,image400,left,congruent,NA,left,TRUE,1391.7000000476837
34,3,11,pre,memory,image45,image101,right,incongruent,NA,left,TRUE,1265
34,3,11,pre,memory,image40,image24,right,congruent,NA,right,TRUE,1419.2000000476837
34,3,11,pre,retrieval,NA,NA,NA,congruent,image71,image71,TRUE,3076.7000000476837
34,3,11,pre,retrieval,NA,NA,NA,incongruent,image101,image101,TRUE,2781.899999976158
34,3,11,pre,retrieval,NA,NA,NA,congruent,image24,image24,TRUE,1296.1999999284744
34,3,12,pre,memory,image415,image70,left,incongruent,NA,right,TRUE,1362.2999999523163
34,3,12,pre,memory,image193,image161,left,incongruent,NA,right,TRUE,1511.8999999761581
34,3,12,pre,memory,image21,image408,right,congruent,NA,NULL,FALSE,NA
34,3,12,pre,retrieval,NA,NA,NA,congruent,image408,image408,TRUE,3799.100000023842
34,3,12,pre,retrieval,NA,NA,NA,incongruent,image415,image193,FALSE,5563.600000023842
34,3,12,pre,retrieval,NA,NA,NA,incongruent,image193,image415,FALSE,557.7000000476837
34,3,13,pre,memory,image299,image106,left,incongruent,NA,NULL,FALSE,NA
34,3,13,pre,memory,image191,image142,left,incongruent,NA,right,TRUE,1182.8999999761581
34,3,13,pre,memory,image146,image143,right,congruent,NA,right,TRUE,1597.7999999523163
34,3,13,pre,retrieval,NA,NA,NA,congruent,image143,image143,TRUE,3752.1999999284744
34,3,13,pre,retrieval,NA,NA,NA,incongruent,image191,image191,TRUE,3987.7000000476837
34,3,13,pre,retrieval,NA,NA,NA,incongruent,image299,image142,FALSE,5816
34,3,14,pre,memory,image304,image264,right,congruent,NA,right,TRUE,1720.1999999284744
34,3,14,pre,memory,image272,image83,left,congruent,NA,left,TRUE,1517.8999999761581
34,3,14,pre,memory,image124,image211,right,congruent,NA,right,TRUE,1180.4000000953674
34,3,14,pre,retrieval,NA,NA,NA,congruent,image272,image272,TRUE,6315.899999976158
34,3,14,pre,retrieval,NA,NA,NA,congruent,image211,image304,FALSE,1308.1000000238419
34,3,14,pre,retrieval,NA,NA,NA,congruent,image264,image211,FALSE,3639.899999976158
34,3,15,pre,memory,image137,image274,left,incongruent,NA,right,TRUE,1671.1000000238419
34,3,15,pre,memory,image212,image318,left,incongruent,NA,NULL,FALSE,NA
34,3,15,pre,memory,image262,image225,left,congruent,NA,left,TRUE,1309.3999999761581
34,3,15,pre,retrieval,NA,NA,NA,congruent,image262,image262,TRUE,1392.3999999761581
34,3,15,pre,retrieval,NA,NA,NA,incongruent,image137,image274,FALSE,6103.199999928474
34,3,15,pre,retrieval,NA,NA,NA,incongruent,image212,image274,FALSE,1282.1000000238419
34,3,16,pre,memory,image228,image180,right,congruent,NA,right,TRUE,864.9000000953674
